NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Engenharia de Alimentos (112294),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.722222222222222,36,5,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.722222222222222,18,3,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.722222222222222,18,1,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.722222222222222,18,1,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.722222222222222,18,1,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.720930232558139,129,4,2014
Ciências Sociais (Licenciatura) (13436),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.714285714285714,35,7,2014
História (Licenciatura) (13449),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.711111111111111,90,8,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.7105263157894735,38,9,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.709677419354839,124,4,2014
NA (13420),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.708333333333334,24,10,2014
