NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano,diffMediaAno,medPerguntaAno
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.01,68,7,2014,0.47,4.54
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.01,69,10,2014,0.38,4.64
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,5,55,9,2014,0.29,4.71
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",5,54,4,2014,0.87,4.13
Ciências Sociais (Licenciatura) (13436),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5,35,28,2014,-0.4,5.4
Ciências Sociais (Licenciatura) (13436),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5,35,21,2014,-0.11,5.11
Engenharia (1106561),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5,20,16,2014,-0.02,5.02
Engenharia Ambiental (112282),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5,20,14,2014,0.04,4.96
Engenharia de Alimentos (112294),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5,36,20,2014,-0.18,5.18
Engenharia de Produção (79570),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5,28,23,2014,-0.2,5.2
Engenharia de Produção (79570),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5,28,19,2014,-0.13,5.13
Geografia (Licenciatura) (13407),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5,84,15,2014,0.03,4.97
Letras-Português (Licenciatura) (1160083),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5,18,6,2014,0.69,4.31
Letras-Português (13420),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5,24,17,2014,-0.02,5.02
Letras-Português (13420),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5,26,16,2014,-0.1,5.1
Engenharia Civil (13439),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,4.99,108,22,2014,-0.12,5.11
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.99,75,15,2014,-0.01,5
Pedagogia (Licenciatura) (13410),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.98,124,4,2014,0.82,4.17
História (Licenciatura) (13405),UFCG,PB,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,4.98,112,11,2014,0.35,4.64
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.98,54,7,2014,0.27,4.72
Engenharia Civil (13439),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.98,108,24,2014,-0.21,5.2
Engenharia (13445),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.98,49,5,2014,0.81,4.17
História (Licenciatura) (13449),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.98,90,16,2014,-0.02,5
Engenharia Mecânica (13442),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.97,79,25,2014,-0.45,5.43
História (Licenciatura) (13405),UFCG,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.97,116,10,2014,0.25,4.73
História (Licenciatura) (13405),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.97,115,8,2014,0.43,4.54
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,4.97,73,17,2014,-0.13,5.1
Engenharia de Alimentos (112294),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.97,36,10,2014,0.26,4.71
Pedagogia (Licenciatura) (13410),UFCG,PB,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,4.97,122,8,2014,0.79,4.17
Letras-Português (13450),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.97,29,15,2014,0,4.96
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.96,55,16,2014,-0.04,5
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,4.96,75,11,2014,0.5,4.46
História (Licenciatura) (13449),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,4.96,74,23,2014,-0.38,5.34
Ciências Sociais (Bacharelado) (313436),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,4.96,24,21,2014,-0.22,5.18
Letras-Português (13420),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.96,24,6,2014,0.79,4.17
Química (Licenciatura) (99808),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.96,24,9,2014,0.41,4.54
Química (Licenciatura) (99808),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.96,24,15,2014,0,4.96
História (Licenciatura) (13405),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.96,116,8,2014,0.24,4.72
Engenharia (13445),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.96,45,16,2014,-0,4.96
História (Licenciatura) (13405),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.96,112,13,2014,0.04,4.92
História (Licenciatura) (13449),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.96,89,16,2014,-0.01,4.97
Matemática (Licenciatura) (99806),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,4.95,22,22,2014,-0.26,5.21
Matemática (Licenciatura) (99806),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,4.95,22,22,2014,-0.23,5.18
História (Licenciatura) (13449),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.95,87,17,2014,-0,4.96
Engenharia Elétrica (13438),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.95,130,25,2014,-0.24,5.2
Geografia (Licenciatura) (13407),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.95,85,10,2014,0.41,4.54
Matemática (Licenciatura) (99806),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.95,21,16,2014,-0.01,4.96
Engenharia Ambiental (112282),UFCG,PB,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,4.95,20,12,2014,0.31,4.64
Engenharia Ambiental (112282),UFCG,PB,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",4.95,20,5,2014,0.92,4.03
Pedagogia (Licenciatura) (13452),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.95,38,11,2014,0.24,4.71
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.95,75,17,2014,-0.02,4.96
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,4.95,75,23,2014,-0.17,5.11
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.95,55,20,2014,-0.2,5.15
Engenharia de Alimentos (112294),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.94,36,9,2014,0.23,4.72
Engenharia Civil (13439),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,4.94,108,23,2014,-0.24,5.18
Engenharia de Alimentos (112294),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.94,36,14,2014,0.03,4.92
Ciências Sociais (Licenciatura) (13436),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.94,35,16,2014,-0.04,4.98
Engenharia Ambiental (112282),UFCG,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",4.94,17,5,2014,0.82,4.12
Engenharia de Alimentos (112294),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.94,34,18,2014,-0.02,4.96
Letras-Português (Licenciatura) (1160083),UFCG,PB,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,4.94,17,3,2014,0.73,4.21
Engenharia Química (13441),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,4.94,31,18,2014,-0.16,5.1
Música (Licenciatura) (118630),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.93,15,26,2014,-0.5,5.43
História (Bacharelado) (313449),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.93,15,17,2014,-0.05,4.98
História (Bacharelado) (313449),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.93,15,15,2014,0.02,4.92
Letras-Português (13450),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.93,29,16,2014,0.07,4.86
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.93,69,12,2014,0.22,4.71
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.93,69,7,2014,0.76,4.17
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.93,67,10,2014,0.21,4.72
Engenharia Elétrica (13438),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.92,132,17,2014,-0.04,4.97
Engenharia Química (13441),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.92,65,27,2014,-0.51,5.43
Letras-Português (13420),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.92,25,17,2014,0.06,4.86
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.92,74,18,2014,-0.06,4.98
Engenharia de Alimentos (112294),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.92,36,17,2014,-0.08,5
Letras-Português (13420),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.92,24,19,2014,-0.06,4.98
Ciências Sociais (Licenciatura) (13436),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,4.91,23,24,2014,-0.42,5.34
Química (Licenciatura) (99808),UFCG,PB,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",4.91,23,4,2014,1.09,3.82
Engenharia (118562),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,4.91,23,25,2014,-0.42,5.34
Engenharia Elétrica (13438),UFCG,PB,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.91,124,1,2014,1.62,3.29
História (Licenciatura) (13449),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,4.91,89,23,2014,-0.3,5.21
História (Licenciatura) (13449),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.91,89,17,2014,-0.09,5
Pedagogia (Licenciatura) (13410),UFCG,PB,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",4.91,122,5,2014,1.09,3.82
Engenharia Elétrica (13438),UFCG,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.91,132,11,2014,0.18,4.73
Matemática (Licenciatura) (99806),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.91,22,21,2014,-0.33,5.24
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.91,75,16,2014,-0.01,4.92
Engenharia Civil (13439),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.91,107,22,2014,-0.33,5.24
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.91,74,18,2014,-0.12,5.02
Engenharia (13445),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,4.9,21,19,2014,-0.19,5.1
História (Licenciatura) (13405),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.9,114,13,2014,0.19,4.71
Pedagogia (Licenciatura) (13410),UFCG,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.9,127,12,2014,0.17,4.73
Letras-Português (13450),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.9,29,19,2014,-0.13,5.02
Engenharia Ambiental (112282),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.89,19,8,2014,0.73,4.17
Engenharia Elétrica (13438),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.89,132,23,2014,-0.34,5.24
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.89,75,11,2014,0.18,4.72
Pedagogia (Licenciatura) (13452),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",4.89,37,20,2014,-0.24,5.13
Engenharia de Alimentos (112294),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.89,36,20,2014,-0.09,4.98
Engenharia de Produção (79570),UFCG,PB,53,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios fora do país.,4.89,27,5,2014,1.53,3.36
Ciências Sociais (Licenciatura) (13436),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.89,35,21,2014,-0.26,5.15
Ciências Sociais (Licenciatura) (13436),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.88,34,18,2014,-0.08,4.96
Engenharia (118562),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.88,34,22,2014,-0.27,5.15
Letras-Português (13420),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,4.88,25,7,2014,0.57,4.31
Pedagogia (Licenciatura) (13410),UFCG,PB,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,4.88,115,3,2014,0.73,4.15
Geografia (Licenciatura) (120777),UFCG,PB,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",4.88,57,5,2014,0.75,4.13
Engenharia Química (13441),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.88,64,23,2014,-0.27,5.15
Engenharia Elétrica (13438),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,4.87,132,8,2014,0.57,4.31
Ciências Sociais (Bacharelado) (313436),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.87,23,24,2014,-0.28,5.15
Ciências Sociais (Bacharelado) (313436),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.87,23,18,2014,-0.1,4.97
Pedagogia (Licenciatura) (13410),UFCG,PB,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,4.87,106,4,2014,0.66,4.21
Música (Licenciatura) (118630),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.87,15,18,2014,-0.13,5
História (Bacharelado) (313449),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.87,15,25,2014,-0.28,5.15
Engenharia Química (13441),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.86,65,19,2014,-0.1,4.97
Engenharia Química (13441),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.86,65,18,2014,-0.14,5
Engenharia de Alimentos (112294),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.86,36,20,2014,-0.1,4.97
Ciências Sociais (Bacharelado) (313436),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,4.85,20,26,2014,-0.49,5.34
Engenharia (1106561),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,4.85,20,12,2014,0.39,4.46
Matemática (Licenciatura) (99806),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.85,20,17,2014,-0.07,4.92
Engenharia Mecânica (13442),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.85,78,26,2014,-0.35,5.2
Letras-Português (13420),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.85,26,11,2014,0.3,4.54
Geografia (Licenciatura) (13407),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",4.84,83,20,2014,-0.24,5.08
Geografia (Licenciatura) (13407),UFCG,PB,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",4.84,83,6,2014,0.81,4.03
Engenharia (13445),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.84,49,12,2014,0.12,4.72
Engenharia Mecânica (13442),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.84,79,26,2014,-0.31,5.15
Pedagogia (Licenciatura) (13452),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.83,36,13,2014,0.12,4.72
Engenharia Química (13441),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,4.83,65,24,2014,-0.35,5.18
Engenharia Civil (13439),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.83,106,19,2014,-0.13,4.96
Letras-Português (13450),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.83,29,19,2014,-0.17,5
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.83,52,24,2014,-0.48,5.31
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.83,69,18,2014,-0.03,4.86
Ciências Sociais (Licenciatura) (13436),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,4.83,23,20,2014,-0.27,5.1
Letras-Português (13420),UFCG,PB,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,4.83,23,11,2014,0.2,4.62
Engenharia Elétrica (13438),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.83,132,12,2014,0.28,4.54
Engenharia Elétrica (13438),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.82,131,25,2014,-0.48,5.31
Letras-Português (Licenciatura) (1160083),UFCG,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",4.82,17,6,2014,0.7,4.12
Engenharia de Produção (79570),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.82,28,28,2014,-0.61,5.43
Engenharia Mecânica (13442),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.82,78,24,2014,-0.42,5.24
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.82,55,25,2014,-0.42,5.24
Letras-Português (13420),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.82,22,19,2014,-0.18,5
Letras-Português (13420),UFCG,PB,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,4.82,22,5,2014,0.61,4.21
Matemática (Licenciatura) (99806),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.82,22,14,2014,0.1,4.72
Geografia (Licenciatura) (13407),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.81,85,20,2014,-0.19,5
Pedagogia (Licenciatura) (13452),UFCG,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.81,37,13,2014,0.08,4.73
Engenharia Mecânica (13442),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,4.81,79,25,2014,-0.37,5.18
Engenharia Mecânica (13442),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.81,77,24,2014,-0.51,5.31
Geografia (Licenciatura) (120777),UFCG,PB,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,4.8,51,4,2014,0.65,4.15
Engenharia Civil (13439),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.8,107,27,2014,-0.34,5.15
Engenharia Civil (13439),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",4.8,106,21,2014,-0.33,5.13
