NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Física (Licenciatura) (99810),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.933333333333333,15,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.862068965517242,29,1,2017
Ciências Sociais (Licenciatura) (13436),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.833333333333333,18,2,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.827586206896552,29,1,2017
Engenharia (1106562),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.8125,16,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.793103448275862,29,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.793103448275862,29,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.793103448275862,29,1,2017
Ciências Sociais (Licenciatura) (13436),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.777777777777779,18,2,2017
Engenharia de Alimentos (118550),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.764705882352941,17,3,2017
Engenharia de Alimentos (118550),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.764705882352941,17,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.758620689655173,29,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.758620689655173,29,1,2017
Letras-Português (Licenciatura) (1160083),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.75,44,4,2017
Física (Licenciatura) (99810),UFCG,PB,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.7333333333333325,15,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.724137931034482,29,1,2017
Engenharia (1106562),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.722222222222221,18,2,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.714285714285714,28,1,2017
Pedagogia (Licenciatura) (13410),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.712643678160919,87,5,2017
Engenharia (13444),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.705882352941177,17,2,2017
Engenharia de Alimentos (118550),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.705882352941177,17,2,2017
Engenharia de Alimentos (118550),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.705882352941177,17,2,2017
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.696969696969696,66,1,2017
Arquitetura e Urbanismo (1129147),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.693877551020408,49,1,2017
Pedagogia (Licenciatura) (13410),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.693181818181818,88,3,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.689655172413794,29,2,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.689655172413794,29,1,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.689655172413793,29,1,2017
Engenharia Florestal (13456),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.684210526315789,19,3,2017
Letras-Português (Licenciatura) (1160083),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.681818181818182,44,3,2017
Letras-Português (Licenciatura) (1160083),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.681818181818182,44,3,2017
Letras-Português (Licenciatura) (1158116),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.678571428571429,28,4,2017
Letras-Português (Licenciatura) (1158116),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.677419354838709,31,3,2017
Letras-Português (Licenciatura) (1158116),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.677419354838709,31,2,2017
Física (Licenciatura) (99810),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.666666666666666,15,2,2017
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.659574468085107,47,4,2017
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.659574468085106,47,4,2017
Pedagogia (Licenciatura) (13452),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.655172413793103,29,1,2017
Engenharia de Alimentos (118550),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.647058823529412,17,2,2017
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.641509433962265,53,1,2017
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.638297872340426,47,6,2017
