X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
1249,2017,2564,1,10028,3002,120777,1,2504009,25,2,26,2010,2012,4,"52,4","52,8","52,3",A,D,A,B,A,B,D,A,A,A,A,E,F,A,A,25,A,A,B,C,A,B,C,E,E,F,6,5,5,4,6,6,5,5,4,5,4,4,4,4,6,6,5,5,5,3,6,4,6,6,6,3,2,4,6,4,6,5,6,5,5,5,6,3,1,6,5,6,A,B,H,B,A,A,B,C,A,B,A,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1250,2017,2564,1,10028,3002,120777,1,2504009,25,2,35,2001,2014,4,"45,5","47,1","44,9",E,A,A,B,D,C,B,A,F,E,A,A,A,A,A,26,A,A,C,C,A,B,B,E,E,A,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,5,6,6,6,4,4,4,6,6,6,4,6,6,6,6,4,6,7,6,5,6,A,D,I,I,A,B,C,B,A,C,C,A,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1251,2017,2564,1,10028,3002,120777,1,2504009,25,2,22,2013,2014,4,"73,3","70,1","74,3",A,D,A,A,B,A,A,A,C,E,A,A,D,A,C,25,A,A,C,E,A,D,B,E,H,A,6,6,5,4,6,5,6,6,6,6,5,5,5,5,6,6,5,5,1,1,4,5,5,6,8,1,1,3,5,5,5,6,5,5,4,4,4,2,5,5,2,2,D,F,B,D,A,A,D,E,A,B,B,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1252,2017,2564,1,10028,3002,120777,1,2504009,25,2,21,2013,2014,4,"73,9","90,5","68,4",A,D,A,D,C,B,E,A,B,A,A,A,D,A,D,25,A,A,B,C,B,E,E,E,E,A,6,7,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,4,7,6,5,6,6,6,7,8,7,5,6,6,5,5,5,4,4,5,6,6,6,6,6,A,A,I,I,A,A,C,C,A,A,A,A,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1253,2017,2564,1,10028,3002,120777,1,2504009,25,2,28,2006,2014,4,"42,3","43,6","41,9",A,A,A,A,B,A,A,A,B,A,A,A,D,A,A,25,A,A,F,G,B,C,D,D,C,F,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,4,6,4,6,6,6,6,1,4,6,6,6,6,4,6,2,4,4,6,7,6,4,1,D,B,I,I,A,D,D,C,A,B,A,A,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1254,2017,2564,1,10028,3002,120777,1,2504009,25,2,25,2012,2014,1,"45,1","36,6","47,9",A,B,A,A,B,F,A,A,A,A,A,F,A,A,E,25,A,A,B,C,B,B,C,E,E,F,4,5,6,2,5,1,6,6,5,5,2,2,4,1,3,5,5,5,3,2,4,6,5,6,8,8,8,3,5,6,5,3,5,6,4,1,1,6,8,4,1,3,A,B,B,C,A,D,D,C,A,D,B,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1255,2017,2564,1,10028,3002,120777,1,2504009,25,2,21,2012,2014,4,"59,5","30,0","69,3",A,D,A,B,B,B,E,A,C,D,A,A,A,A,D,26,A,E,B,G,A,E,D,E,H,A,5,4,6,6,6,5,4,6,5,4,5,3,5,3,4,6,5,4,5,4,5,4,5,5,4,1,1,3,6,5,4,3,4,6,4,3,2,5,3,6,5,5,A,D,I,I,A,B,C,D,A,B,B,C,C,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1256,2017,2564,1,10028,3002,120777,1,2504009,25,2,29,2005,2016,4,"48,9","59,2","45,5",A,D,A,A,B,B,D,A,E,E,A,A,A,A,D,25,A,A,C,E,A,C,C,E,E,F,5,6,5,6,6,6,6,6,6,5,6,5,6,5,6,6,6,6,6,7,6,6,6,6,7,7,8,5,6,6,6,6,6,3,6,6,5,5,7,6,5,5,A,A,I,I,A,A,C,D,A,B,A,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1257,2017,2564,1,10028,3002,120777,1,2504009,25,2,23,2011,2014,1,"46,1","67,6","38,9",A,A,A,A,B,B,H,A,B,A,A,A,A,A,D,25,A,A,C,E,B,C,B,E,E,F,6,6,4,6,6,6,6,6,4,5,4,6,6,4,6,6,4,5,2,2,5,6,6,6,5,1,1,7,6,5,6,6,6,6,6,5,5,5,7,6,2,3,A,C,I,I,A,A,C,D,A,B,C,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1258,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2014,2017,1,"43,2","57,6","38,4",A,A,A,D,C,B,D,A,B,A,A,A,D,A,A,25,A,D,B,C,A,B,C,E,B,A,6,5,5,6,6,6,6,6,6,6,5,5,5,5,6,6,6,5,6,6,6,5,6,6,6,1,1,1,5,5,6,5,6,6,5,2,5,6,1,6,6,5,A,B,B,D,A,B,D,B,A,B,B,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
