X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
1629,2014,2564,10002,10028,5401,313436,1,2504009,25,2,25,2007,2011,1,1,0,1,1,59.4,73.3,54.8,B,A,A,C,E,C,B,B,A,A,A,A,E,A,A,25,B,A,A,K,A,A,C,E,H,C,5,4,2,3,5,5,5,6,6,4,4,4,4,3,3,4,5,4,3,3,4,8,4,5,4,1,1,1,1,3,5,2,1,3,1,1,1,3,1,5,1,2,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1630,2014,2564,10002,10028,5401,313436,1,2504009,25,2,29,2002,2013,1,1,0,1,1,39.5,53.3,34.9,A,A,A,F,E,B,D,E,C,D,H,A,D,A,A,25,B,A,B,A,A,A,B,D,H,F,6,4,4,5,6,4,5,5,4,5,4,4,5,4,1,4,3,1,5,3,4,4,5,3,6,1,1,1,3,4,5,3,2,5,3,3,3,4,1,3,5,6,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1631,2014,2564,10002,10028,5401,313436,1,2504009,25,2,23,2008,2011,1,1,0,1,1,58,65.4,55.5,A,A,A,D,E,B,H,B,A,A,A,F,E,A,A,25,B,A,B,D,A,C,C,E,H,A,6,4,3,4,4,3,6,6,5,5,2,3,5,2,3,2,4,4,3,4,3,3,4,3,4,1,1,1,1,3,3,3,1,2,1,1,1,2,1,3,1,1,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1633,2014,2564,10002,10028,5401,313436,1,2504009,25,2,23,2008,2009,1,1,0,1,1,58.1,75,52.5,B,A,A,B,B,C,B,A,D,E,I,A,E,A,A,25,A,A,B,C,B,E,E,A,H,F,5,5,5,6,6,5,6,6,6,6,5,5,5,4,5,5,6,6,6,4,5,5,5,5,5,5,2,6,6,4,5,6,6,6,3,4,4,4,1,4,2,4,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1634,2014,2564,10002,10028,5401,313436,1,2504009,25,2,24,2008,2010,1,1,0,1,1,42.3,48.3,40.3,A,C,A,B,E,D,A,A,B,A,H,F,F,A,D,25,A,A,B,C,A,C,D,E,H,F,4,5,4,5,6,6,6,6,6,6,6,5,5,3,4,5,6,6,4,3,5,5,5,6,5,2,2,3,3,3,6,6,4,5,3,3,3,2,2,5,3,3,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1635,2014,2564,10002,10028,5401,313436,1,2504009,25,2,25,2008,2011,1,1,0,1,1,71,75,69.7,B,D,A,C,D,C,B,A,E,D,A,A,B,A,A,35,A,A,A,A,A,E,B,A,E,C,3,3,3,2,2,3,3,1,2,2,3,2,4,4,3,2,4,4,2,7,2,2,2,2,3,7,7,3,3,2,3,2,2,3,1,8,3,2,2,7,7,2,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1636,2014,2564,10002,10028,5401,313436,1,2504009,25,2,28,2005,2011,1,1,0,1,1,42.1,64.3,34.7,A,C,A,A,B,D,A,A,A,A,H,F,A,A,A,26,A,A,B,C,A,C,C,E,H,A,5,4,6,5,4,5,6,6,6,6,6,6,6,6,6,6,5,5,4,3,5,4,5,4,5,3,2,5,4,5,6,5,6,6,4,4,4,4,5,5,3,4,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1638,2014,2564,10002,10028,5401,313436,1,2504009,25,2,24,2007,2009,0,0,1,1,1,13.2,40.7,4,A,C,A,B,B,B,C,B,B,A,A,A,A,A,A,25,D,A,F,C,B,C,B,A,H,A,6,6,6,6,6,7,6,6,6,6,7,6,7,7,6,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1639,2014,2564,10002,10028,5401,313436,1,2504009,25,2,28,2005,2008,1,1,0,1,1,28.5,41.8,24.1,B,C,A,B,D,C,B,C,E,E,A,A,A,A,A,25,A,A,B,C,A,B,B,E,G,A,3,7,6,6,6,5,6,6,6,6,5,4,5,5,6,5,6,6,6,5,4,5,6,7,5,8,8,5,4,5,5,6,1,6,4,4,4,6,5,5,1,3,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1640,2014,2564,10002,10028,5401,313436,1,2504009,25,2,24,2007,2009,0,0,1,1,1,65.3,80.3,60.3,A,A,A,B,E,B,D,A,B,A,A,A,B,A,A,25,B,A,B,A,A,B,C,E,H,F,6,6,5,5,6,5,6,6,6,6,5,5,6,5,4,6,6,5,6,5,5,6,5,6,6,5,5,5,5,5,5,5,5,6,4,4,4,4,4,6,4,4,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
